Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Fibula Free Flap Reconstruction;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Gracilis Free Flap;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Tissue Expander Placement and Exchange;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Scar Revision (Z-Plasty / W-Plasty);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Dermabrasion;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Chemical Peel (Deep / Phenol);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Excision of Skin Cancer (BCC / SCC) with Reconstruction;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Mohs Micrographic Surgery Reconstruction Flap;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Cleft Lip Repair (Millard Rotation-Advancement);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Cleft Palate Repair (Furlow Double Opposing Z-Plasty);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Alveolar Bone Grafting for Cleft Lip/Palate;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Craniofacial Vault Remodeling (Craniosynostosis);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Le Fort I Osteotomy;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Le Fort II Osteotomy;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Le Fort III Osteotomy;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Bimaxillary Osteotomy (Orthognathic Surgery);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Bilateral Sagittal Split Osteotomy (BSSO);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Distraction Osteogenesis (Mandibular);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Targeted Muscle Reinnervation (TMR) for Amputees;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Lymphovenous Anastomosis (LVA) for Lymphedema;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Vascularized Lymph Node Transfer (VLNT);Plastic, Reconstructive & Aesthetic Surgery;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Carotid Endarterectomy;Vascular Surgery;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Carotid Subclavian Bypass;Vascular Surgery;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Subclavian Artery Transposition;Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Axillobifemoral Bypass;Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Femorofemoral Bypass;Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
Femoral-Popliteal Bypass (Above Knee);Vascular Surgery;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Femoral-Popliteal Bypass (Below Knee);Vascular Surgery;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Femoral-Peroneal Bypass;Vascular Surgery;"Intraoperative arterial disruption / severe hemorrhage ; Arrhythmia / cardiac conduction alteration ; Embolic event";"Access site / operative hematoma ; Ischemic complication / graft or vessel occlusion ; Acute kidney injury";"Vascular restenosis / graft failure ; Infective endocarditis / prosthetic infection ; Chronic ischemia"
